Date,Price,Open,High,Low,Volume,Chg%
"Dec 31, 2019",1.3261,1.3117,1.3285,1.3106,97.86K,1.11%
"Dec 30, 2019",1.3115,1.3067,1.3152,1.3066,100.82K,0.29%
"Dec 27, 2019",1.3077,1.2993,1.3118,1.2967,85.56K,0.65%
"Dec 26, 2019",1.2993,1.2961,1.3016,1.2951,99.65K,0.25%
"Dec 25, 2019",1.2961,1.2942,1.2989,1.2918,34.43K,0.12%
"Dec 24, 2019",1.2946,1.2936,1.2972,1.2912,108.05K,0.09%
"Dec 23, 2019",1.2935,1.2994,1.3034,1.2905,97.34K,-0.53%
"Dec 20, 2019",1.3004,1.301,1.3081,1.2978,105.25K,-0.04%
"Dec 19, 2019",1.3009,1.3079,1.3133,1.299,105.63K,-0.53%
"Dec 18, 2019",1.3078,1.3129,1.3136,1.3059,102.03K,-0.40%
"Dec 17, 2019",1.313,1.333,1.334,1.3099,97.52K,-1.51%
"Dec 16, 2019",1.3331,1.3336,1.3424,1.3321,106.33K,0.04%
"Dec 13, 2019",1.3326,1.3168,1.3516,1.3158,138.64K,1.23%
"Dec 12, 2019",1.3164,1.3202,1.3231,1.3052,123.19K,-0.23%
"Dec 11, 2019",1.3195,1.3157,1.3215,1.3106,100.27K,0.30%
"Dec 10, 2019",1.3156,1.3151,1.3217,1.3132,78.09K,0.08%
"Dec 09, 2019",1.3145,1.3138,1.3182,1.3117,88.94K,0.06%
"Dec 06, 2019",1.3137,1.3157,1.3167,1.31,97.98K,-0.15%
"Dec 05, 2019",1.3157,1.3105,1.3168,1.3102,98.16K,0.40%
"Dec 04, 2019",1.3104,1.2992,1.3121,1.2981,99.53K,0.85%
"Dec 03, 2019",1.2994,1.2938,1.3013,1.293,87.96K,0.44%
"Dec 02, 2019",1.2937,1.2917,1.2951,1.2895,93.88K,0.02%
"Nov 29, 2019",1.2934,1.2909,1.2948,1.2877,98.21K,0.16%
"Nov 28, 2019",1.2913,1.292,1.2952,1.2898,109.36K,-0.07%
"Nov 27, 2019",1.2922,1.2865,1.2923,1.2826,99.85K,0.43%
"Nov 26, 2019",1.2867,1.2899,1.2909,1.2836,101.37K,-0.25%
"Nov 25, 2019",1.2899,1.2851,1.2913,1.284,101.02K,0.52%
"Nov 22, 2019",1.2832,1.2914,1.2929,1.2824,103.61K,-0.63%
"Nov 21, 2019",1.2914,1.2924,1.2971,1.2893,106.12K,-0.08%
"Nov 20, 2019",1.2924,1.2924,1.2933,1.2886,97.08K,-0.02%
"Nov 19, 2019",1.2926,1.2956,1.2973,1.2912,92.52K,-0.22%
"Nov 18, 2019",1.2954,1.2905,1.2986,1.2901,92.76K,0.41%
"Nov 15, 2019",1.2901,1.2883,1.2921,1.2867,99.34K,0.16%
"Nov 14, 2019",1.2881,1.285,1.2889,1.2824,101.29K,0.23%
"Nov 13, 2019",1.2851,1.2848,1.2865,1.2822,81.52K,0.05%
"Nov 12, 2019",1.2845,1.2855,1.2874,1.2814,89.76K,-0.07%
"Nov 11, 2019",1.2854,1.2779,1.29,1.2779,85.39K,0.64%
